ID_Parcela;Predio;INDV;CAP;DAP_cm;Angulo -;Angulo +;Angulo +2;Distancia;HT_m;HC_m;Ctronco;A_Basal (m2);Vol_T;Vol_C;;;;;;;
PL109;Porvenir;28;46,1;14,67;10;40;15;15,75;7,88;3,94;2;0,02;0,06;0,03;;;;;;;
PL109;Porvenir;11;46,5;14,80;10;40;15;17,7;8,85;4,43;;0,02;0,07;0,03;;;;;;;
PL109;Porvenir;42;46,8;14,90;10;40;15;21,7;10,85;5,43;3;0,02;0,09;0,04;;;;;;;
PL109;Porvenir;33;47,3;15,06;10;40;20;16,95;8,48;5,09;;0,02;0,07;0,04;;;;;;;
PL109;Porvenir;19;48,4;15,41;10;55;20;17,50;11,38;5,25;2;0,02;0,10;0,04;;;;;;;
PL109;Porvenir;31;48,5;15,44;10;40;15;20,28;10,14;5,07;;0,02;0,09;0,04;;;;;;;
PL109;Porvenir;36;48,9;15,57;10;40;15;17,82;8,91;4,46;3;0,02;0,08;0,04;;;;;;;
PL109;Porvenir;16;51,5;16,39;10;40;15;16,15;8,08;4,04;;0,02;0,08;0,04;;;;;;;
PL109;Porvenir;52;51,9;16,52;10;40;15;21,69;10,85;5,42;2;0,02;0,11;0,05;;;;;;;
PL109;Porvenir;22;52,1;16,58;10;50;15;17,7;10,62;4,43;;0,02;0,10;0,04;;;;;;;
PL109;Porvenir;1;52,4;16,68;10;40;20;19,7;9,85;5,91;2;0,02;0,10;0,06;;;;;;;
PL109;Porvenir;18B;52,7;16,77;10;40;0;17,12;8,56;1,71;;0,02;0,09;0,02;;;;;;;
PL109;Porvenir;38;52,9;16,84;10;40;20;19,79;9,90;5,94;;0,02;0,10;0,06;;;;;;;
PL109;Porvenir;17;53,20;16,93;10;50;25;19,23;11,54;6,73;2;0,02;0,12;0,07;;;;;;;
PL109;Porvenir;39;53,4;17,00;10;30;15;21,68;8,67;5,42;;0,02;0,09;0,06;;;;;;;
PL109;Porvenir;55;53,5;17,03;10;40;20;22,38;11,19;6,71;;0,02;0,12;0,07;;;;;;;
PL109;Porvenir;20;53,6;17,06;10;50;20;16;9,60;4,80;;0,02;0,10;0,05;;;;;;;
PL109;Porvenir;21;54,8;17,44;10;45;15;17,8;9,79;4,45;3;0,02;0,11;0,05;;;;;;;
PL109;Porvenir;6;55,5;17,67;10;50;20;18,12;10,87;5,44;;0,02;0,12;0,06;;;;;;;
PL109;Porvenir;32;55,8;17,76;10;30;15;19,7;7,88;4,93;;0,02;0,09;0,06;;;;;;;
PL109;Porvenir;45;56,1;17,86;10;40;15;17,7;8,85;4,43;;0,03;0,10;0,05;;;;;;;
PL109;Porvenir;8;56,2;17,89;10;45;20;20,53;11,29;6,16;;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;35;57,3;18,24;10;45;20;19,56;10,76;5,87;;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;53;57,4;18,27;10;35;15;19,2;8,64;4,80;;0,03;0,10;0,06;;;;;;;
PL109;Porvenir;50;58,3;18,56;10;45;20;18,75;10,31;5,63;2;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;37;58,5;18,62;10;45;20;19,85;10,92;5,96;;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;30;58,6;18,65;10;50;25;20,7;12,42;7,25;;0,03;0,15;0,09;;;;;;;
PL109;Porvenir;49;59,1;18,81;10;45;20;18,57;10,21;5,57;;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;5;59,1;18,81;10;45;25;12,36;6,80;4,33;2;0,03;0,09;0,05;;;;;;;
PL109;Porvenir;34;59,2;18,84;10;40;20;19,88;9,94;5,96;2;0,03;0,13;0,08;;;;;;;
PL109;Porvenir;14;59,2;18,84;10;45;20;17,83;9,81;5,35;2;0,03;0,12;0,07;;;;;;;
PL109;Porvenir;24;59,7;19,00;10;45;15;20;11,00;5,00;;0,03;0,14;0,06;;;;;;;
PL109;Porvenir;51;60,2;19,16;10;40;15;20,67;10,34;5,17;3;0,03;0,13;0,07;;;;;;;
PL109;Porvenir;13;62,3;19,83;10;65;30;18,2;13,65;7,28;3;0,03;0,19;0,10;;;;;;;
PL109;Porvenir;29;64,9;20,66;10;45;20;19,56;10,76;5,87;3;0,03;0,16;0,09;;;;;;;
PL109;Porvenir;26;65,3;20,79;10;50;25;19,9;11,94;6,97;;0,03;0,18;0,11;;;;;;;
PL109;Porvenir;23;65,6;20,88;10;50;20;18,95;11,37;5,69;;0,03;0,18;0,09;;;;;;;
PL109;Porvenir;25;65,7;20,91;10;45;20;18,45;10,15;5,54;2;0,03;0,16;0,09;;;;;;;
